"Date","Start_Time","Stop_Time","Study_Time"
"2024-09-23","2024-09-23 08:51:44.590997","2024-09-23 08:51:59.876885","00:00:15"
"2024-09-23","2024-09-23 08:57:07.731788","2024-09-23 09:19:07.958489","00:22:00"
"2024-09-23","2024-09-23 09:34:14.616926","2024-09-23 09:58:31.140434","00:24:16"
"2024-09-24","2024-09-24 15:22:21.723486","2024-09-24 15:32:56.694929","00:10:34"
"2024-09-24","2024-09-24 15:33:24.045954","2024-09-24 16:16:29.927091","00:43:05"
"2024-09-24","2024-09-24 21:55:36.319037","2024-09-24 22:13:46.438936","00:18:10"
"2024-09-24","2024-09-24 22:15:25.243002","2024-09-24 22:33:55.720479","00:18:30"
"2024-09-25","2024-09-25 14:54:51.151424","2024-09-25 15:46:56.077878","00:52:04"
